EmployeeID,Unit,Supervisor,JobSat1,JobSat2,JobSat3,TurnInt1,TurnInt2,TurnInt3,Engage1,Engage2,Engage3,Engage4,Engage5,ExpIncivil1,ExpIncivil2,ExpIncivil3,ExpIncivil4,ExpIncivil5,JobSatMean,TurnIntMean,EngageMean,ExpIncivilMean
EID294,Marketing,EID373,3,3,3,3,3,3,2,1,2,2,3,2,2,3,2,2,3,3,2,2.2
EID295,Marketing,EID373,2,3,2,3,4,2,2,1,3,3,3,2,2,2,2,1,2.333333333,3,2.4,1.8
EID296,Marketing,EID373,2,2,3,3,3,3,1,1,2,1,2,2,1,2,2,2,2.333333333,3,1.4,1.8
EID301,Marketing,EID367,2,2,3,4,4,4,3,2,3,2,2,3,3,3,4,3,2.333333333,4,2.4,3.2
EID306,Marketing,EID367,2,2,2,4,4,4,3,2,3,4,3,2,3,3,3,3,2,4,3,2.8
EID213,HumanResources,EID370,4,3,4,3,3,3,3,2,4,3,3,2,3,3,3,3,3.666666667,3,3,2.8
EID217,HumanResources,EID370,3,3,2,3,2,2,3,2,3,3,4,2,2,3,3,2,2.666666667,2.333333333,3,2.4
EID254,Manufacturing,EID371,4,4,4,2,2,2,3,2,3,3,2,1,2,2,2,2,4,2,2.6,1.8
EID260,Manufacturing,EID371,3,4,4,2,2,2,3,2,2,1,2,2,2,1,2,2,3.666666667,2,2,1.8
EID315,ResearchDevelopment,EID372,3,2,3,2,2,2,2,2,3,4,2,2,2,2,2,2,2.666666667,2,2.6,2
EID317,ResearchDevelopment,EID372,3,3,5,3,4,3,3,2,3,4,4,2,2,4,2,3,3.666666667,3.333333333,3.2,2.6
EID344,Sales,EID372,3,3,2,3,3,3,3,2,3,4,2,2,2,3,4,3,2.666666667,3,2.8,2.8
EID357,Sales,EID372,4,4,3,3,3,3,3,2,3,4,3,2,2,3,3,3,3.666666667,3,3,2.6
EID358,Sales,EID372,2,3,3,2,2,2,3,2,3,3,3,2,3,3,3,2,2.666666667,2,2.8,2.6
EID252,Manufacturing,EID375,4,4,3,3,3,3,3,2,3,3,3,2,2,2,3,3,3.666666667,3,2.8,2.4
EID354,Sales,EID377,3,3,3,3,3,3,3,2,3,4,2,3,2,3,3,3,3,3,2.8,2.8
EID237,Manufacturing,EID380,1,2,2,4,3,3,2,2,2,2,1,2,3,3,3,4,1.666666667,3.333333333,1.8,3
EID286,Manufacturing,EID380,3,3,3,4,4,3,3,2,2,3,3,3,2,4,3,3,3,3.666666667,2.6,3
EID288,Manufacturing,EID380,2,2,2,3,3,3,2,2,2,2,3,2,2,2,3,3,2,3,2.2,2.4
EID305,Marketing,EID367,3,3,5,3,2,2,5,3,3,3,3,2,2,2,2,2,3.666666667,2.333333333,3.4,2
EID310,Marketing,EID367,3,3,3,4,3,4,3,3,2,3,3,2,3,2,2,2,3,3.666666667,2.8,2.2
EID226,Manufacturing,EID368,2,2,3,4,3,4,3,3,4,4,4,2,2,2,2,3,2.333333333,3.666666667,3.6,2.2
EID232,Manufacturing,EID368,2,3,2,4,4,4,3,3,3,3,3,3,2,3,3,3,2.333333333,4,3,2.8
EID275,Manufacturing,EID368,4,4,4,2,2,3,3,3,3,3,5,2,2,3,3,3,4,2.333333333,3.4,2.6
EID276,Manufacturing,EID368,3,4,2,3,3,3,2,3,3,3,2,3,3,2,2,3,3,3,2.6,2.6
EID277,Manufacturing,EID368,4,4,4,4,3,4,4,3,4,4,4,2,3,3,2,2,4,3.666666667,3.8,2.4
EID291,Manufacturing,EID368,4,4,4,2,1,1,3,3,3,2,3,2,2,1,2,1,4,1.333333333,2.8,1.6
EID292,Manufacturing,EID368,3,3,4,4,3,4,3,3,3,3,4,3,3,3,3,3,3.333333333,3.666666667,3.2,3
EID293,Manufacturing,EID368,3,3,4,3,3,2,3,3,3,4,4,3,3,3,4,3,3.333333333,2.666666667,3.4,3.2
EID215,HumanResources,EID370,3,3,2,2,2,3,4,3,3,3,3,3,2,2,2,3,2.666666667,2.333333333,3.2,2.4
